,positivo_score
compro recomendo,0.00015301304813115108
produto rápida entrega,0.00015258916015468667
muito bom produto entrega,0.00015232619794347662
muito bom estou,0.00015226318294293587
comprar nas lojas lannister,0.00019523185932316143
produto lindo de ótima,0.00015212412001688893
eficácia,0.00015208765085062556
fácil de usar,0.00015177637255429544
atendendo,0.00016091261966130174
de excelente qualidade entrega,0.0001513600761857683
qualidade parabéns,0.00015101751495072842
estou satisfeito com produto,0.00016846422434781285
de boa qualidade entrega,0.00017844983262171697
combinado recomendo,0.0001503212553771461
foi otimo,0.00015015366751133037
chegou td,0.0001673013955819152
produto chegou super rápido,0.0001499141286392156
xxxxx,0.00020329335230737954
perfeito adorei,0.0001496652323326903
do prazo previsto muito,0.00014922964124836825
do prazo estou muito,0.00014920212002140435
super rápido entrega,0.0001490233243175762
chegou em tempo,0.00014896099743077107
entregue antes do tempo,0.00014868545922315382
gostei otimo produto,0.00014843352829498318
como prometido,0.00018638872552625768
preço ótimo,0.00014814221070536405
entregue conforme combinado,0.00014798962724628056
produto gostei muito,0.00014788240495069134
amei os produtos,0.00014761950819231775
prazo cumprido,0.0001475183198025743
adoraram,0.000147491286721905
recebi tudo certinho,0.00015963782934130623
qualidade entrega no prazo,0.00014730261398985566
gostei do produto da,0.00014704490623305755
chegou super rapido,0.00014682760614753858
produto entrega rapida,0.00014646889843267872
atendimento perfeito,0.00014592295094968325
agradeço pela,0.00014554223827972028
surpreendente,0.00014518484111020638
no praso,0.00015449007606263963
em perfeito estado antes,0.00015396986560815528
embalado em perfeito estado,0.00014483048191038755
qualidade entrega super rápida,0.00014466089738942252
produto ótima qualidade,0.00015955913419639877
muito bom foi entregue,0.00015684659330679983
tudo muito bom,0.00014434804945043844
vendedor super,0.0001442407851339241
excelente produto muito,0.00014413772861556168
site seguro,0.0001759652133668846
produto conforme anunciado entrega,0.00014395986849208558
agilidade da entrega,0.00014376441134263218
prazo de ótima qualidade,0.00014375535148632311
bons produtos,0.00021669445471116816
excelente chegou antes do,0.00014344054219721206
entrega muito rápida recomendo,0.00014331550618427788
vendedor muito bom,0.00014313281994765122
vocês estão de parabéns,0.00015270321272527727
dentro do prazo previsto,0.0002458126991357483
rápido eficaz,0.00014252430723406086
entrega muito rápido,0.0001424554290632689
gostei muito produto,0.00014222758861165603
corretamente dentro do prazo,0.0001842695233567765
tudo tranquilo,0.00015554081286914178
ótimo excelente,0.0001418649272227494
muito boa recomendo,0.00014184574093868604
estou gostando,0.00014180454478237005
rápida produto muito bom,0.0001415068132605956
corretamente no prazo,0.00015134406624962564
rápido super,0.00014119876182721049
relógio muito bonito,0.0001807786717160549
produto em perfeitas condições,0.00014106133759285574
presteza,0.00014099842173737574
tudo conforme anunciado,0.0001409316440375735
rapidez eficiência,0.00014090441337226425
lindo relógio,0.0001753529288797425
gosto muito de comprar,0.00020007857997390169
lindooo,0.0001405192860730833
compra perfeita,0.00014051148472277807
servico,0.00014047350940247656
produto exelente,0.00014030128241956485
fiquei muito satisfeito com,0.00014927999945837017
muito bom obrigado,0.00014010188068263018
muito antes da data,0.00013963082117271182
atendimento rápido,0.00013948171401357857
